customer_id,customer_unique_id,customer_city,customer_department,customer_postal_code_prefix
col_customer_0000001,col_unique_000001,Cartagena,Bolivar,130
col_customer_0000002,col_unique_000002,Medellin,Antioquia,050
col_customer_0000003,col_unique_000003,Chia,Cundinamarca,250
col_customer_0000004,col_unique_000004,Villavicencio,Meta,500
col_customer_0000005,col_unique_000004,Villavicencio,Meta,500
col_customer_0000006,col_unique_000005,Neiva,Huila,410
col_customer_0000007,col_unique_000005,Neiva,Huila,410
col_customer_0000008,col_unique_000006,Medellin,Antioquia,050
col_customer_0000009,col_unique_000006,Medellin,Antioquia,050
col_customer_0000010,col_unique_000007,Cali,Valle del Cauca,760
col_customer_0000011,col_unique_000008,Medellin,Antioquia,
col_customer_0000012,col_unique_000009,Cali,Valle del Cauca,760
col_customer_0000013,col_unique_000010,Popayan,Cauca,190
col_customer_0000014,col_unique_000011,Bogota,BOGOTA D.C.,110
col_customer_0000015,col_unique_000012,Barranquilla,Atlantico,080
col_customer_0000016,col_unique_000013,Bogota,Bogota D.C.,110
col_customer_0000017,col_unique_000014,Pereira,Risaralda,660
col_customer_0000018,col_unique_000015,,,080
col_customer_0000019,col_unique_000016,Cali,Valle del Cauca,760
col_customer_0000020,col_unique_000016,  Cali  ,Valle del Cauca,760
col_customer_0000021,col_unique_000017,Medellin,Antioquia,050
col_customer_0000022,col_unique_000018,  Medellin  ,Antioquia,050
col_customer_0000023,col_unique_000019,Pereira,Risaralda,660
col_customer_0000024,col_unique_000019,Pereira,Risaralda,660
col_customer_0000025,col_unique_000020,Cali,Valle del Cauca,760
col_customer_0000026,col_unique_000021,Bogota,Bogota D.C.,110
col_customer_0000027,col_unique_000022,Medellin,Antioquia,050
col_customer_0000028,col_unique_000023,Bogota,Bogota D.C.,110
col_customer_0000029,col_unique_000024,Barranquilla,Atlantico,080
col_customer_0000030,col_unique_000025,Barranquilla,Atlantico,080
col_customer_0000031,col_unique_000025,Barranquilla,Atlantico,080
col_customer_0000032,col_unique_000026,Neiva,Huila,410
col_customer_0000033,col_unique_000027,Bogota,Bogota D.C.,110
col_customer_0000034,col_unique_000028,Pereira,Risaralda,660
col_customer_0000035,col_unique_000028,pereira,Risaralda,660
col_customer_0000036,col_unique_000028,  Pereira  ,Risaralda,660
col_customer_0000037,col_unique_000028,Pereira,Risaralda,660
col_customer_0000038,col_unique_000029,Manizales,Caldas,170
col_customer_0000039,col_unique_000030,Cucuta,Norte de Santander,540
col_customer_0000040,col_unique_000031,Pereira,Risaralda,660
col_customer_0000041,col_unique_000031,  Pereira  ,Risaralda,660
col_customer_0000042,col_unique_000031,  Pereira  , Risaralda,660
col_customer_0000043,col_unique_000031,Pereira,Risaralda,660
col_customer_0000044,col_unique_000032,Bogota,Bogota D.C.,110
col_customer_0000045,col_unique_000033,Bogota ,bogota d.c.,
col_customer_0000046,col_unique_000034,Medellin,Antioquia,050
col_customer_0000047,col_unique_000035,Cartagena,Bolivar,130
col_customer_0000048,col_unique_000036,Bucaramanga,Santander,680
col_customer_0000049,col_unique_000037,Bogota,Bogota D.C. ,110
col_customer_0000050,col_unique_000038,Cali,Valle del Cauca,760
col_customer_0000051,col_unique_000039,Cartagena,BOLIVAR,130
col_customer_0000052,col_unique_000040,Barranquilla,Atlantico,080
col_customer_0000053,col_unique_000041,Pasto,Narino,520
col_customer_0000054,col_unique_000041,Pasto,Narino,520
col_customer_0000055,col_unique_000041,Pasto,Narino,520
col_customer_0000056,col_unique_000042,Bogota,Bogota D.C.,110
col_customer_0000057,col_unique_000043, Bogota,Bogota D.C.,110
col_customer_0000058,col_unique_000044,  Popayan  ,Cauca,190
col_customer_0000059,col_unique_000044,popayan,Cauca,190
col_customer_0000060,col_unique_000045,Medellin,Antioquia,050
col_customer_0000061,col_unique_000046,  Ibague  ,Tolima,730
col_customer_0000062,col_unique_000046,Ibague,  Tolima  ,730
col_customer_0000063,col_unique_000047,Cartagena,Bolivar,130
col_customer_0000064,col_unique_000047,Cartagena,Bolivar,130
col_customer_0000065,col_unique_000048, Bucaramanga,Santander,680
col_customer_0000066,col_unique_000049,Bogota ,Bogota D.C.,110
col_customer_0000067,col_unique_000049,Bogota,Bogota D.C.,110
col_customer_0000068,col_unique_000050,Medellin,Antioquia,050
col_customer_0000069,col_unique_000051,Bogota,Bogota D.C.,110
col_customer_0000070,col_unique_000052,Monteria,Cordoba,230
col_customer_0000071,col_unique_000053,Pereira,Risaralda,660
col_customer_0000072,col_unique_000054,Manizales,Caldas ,170
col_customer_0000073,col_unique_000055,Pasto,Narino,
col_customer_0000074,col_unique_000056,Bogota,Bogota D.C.,110
col_customer_0000075,col_unique_000057,Barranquilla,Atlantico,080
col_customer_0000076,col_unique_000058,Bogota,Bogota D.C.,110
col_customer_0000077,col_unique_000059,Bogota,Bogota D.C.,110
col_customer_0000078,col_unique_000060,Bogota ,Bogota D.C.,110
col_customer_0000079,col_unique_000061,Bucaramanga,Santander,680
col_customer_0000080,col_unique_000062,Bucaramanga,Santander,
col_customer_0000081,col_unique_000062,Bucaramanga,Santander,680
col_customer_0000082,col_unique_000063,Bogota,Bogota D.C.,110
col_customer_0000083,col_unique_000064,Medellin, Antioquia,050
col_customer_0000084,col_unique_000065,Santa Marta, Magdalena,470
col_customer_0000085,col_unique_000066, Bogota,Bogota D.C.,110
col_customer_0000086,col_unique_000066,Bogota,Bogota D.C.,110
col_customer_0000087,col_unique_000067,Tunja,Boyaca,150
col_customer_0000088,col_unique_000067,Tunja,Boyaca,150
col_customer_0000089,col_unique_000068,Medellin,Antioquia,050
col_customer_0000090,col_unique_000069,Bogota,Bogota D.C.,110
col_customer_0000091,col_unique_000070,Cali,Valle del Cauca,760
col_customer_0000092,col_unique_000071,Bogota,Bogota D.C. ,110
col_customer_0000093,col_unique_000072,Cartagena, Bolivar,130
col_customer_0000094,col_unique_000073,Medellin,Antioquia,050
col_customer_0000095,col_unique_000074,Barranquilla,Atlantico,080
col_customer_0000096,col_unique_000075,Manizales,Caldas,170
col_customer_0000097,col_unique_000075,Manizales,Caldas,170
col_customer_0000098,col_unique_000076,Cucuta,Norte de Santander,540
col_customer_0000099,col_unique_000077,CALI,Valle del Cauca,760
col_customer_0000100,col_unique_000077,Cali,Valle del Cauca,760
col_customer_0000101,col_unique_000078,Medellin,  Antioquia  ,050
col_customer_0000102,col_unique_000079,Cali,Valle del Cauca,760
col_customer_0000103,col_unique_000079,Cali,Valle del Cauca,760
col_customer_0000104,col_unique_000079,Cali,Valle del Cauca ,760
col_customer_0000105,col_unique_000080,Medellin,Antioquia,050
col_customer_0000106,col_unique_000081,cucuta,Norte de Santander,540
col_customer_0000107,col_unique_000082,medellin,Antioquia,050
col_customer_0000108,col_unique_000082,Medellin,Antioquia,050
col_customer_0000109,col_unique_000082,Medellin,Antioquia,050
col_customer_0000110,col_unique_000082,Medellin,Antioquia,050
col_customer_0000111,col_unique_000082,Medellin,ANTIOQUIA,050
col_customer_0000112,col_unique_000082,Medellin,Antioquia,050
col_customer_0000113,col_unique_000083,  Medellin  ,ANTIOQUIA,050
col_customer_0000114,col_unique_000083,Medellin,Antioquia,050
col_customer_0000115,col_unique_000084,Cartagena,Bolivar,130
col_customer_0000116,col_unique_000085,Barranquilla,Atlantico,080
col_customer_0000117,col_unique_000085,Barranquilla,Atlantico,080
col_customer_0000118,col_unique_000085,Barranquilla,Atlantico,080
col_customer_0000119,col_unique_000086,Cartagena,Bolivar,130
col_customer_0000120,col_unique_000087,Ibague,Tolima,730
col_customer_0000121,col_unique_000088,Ibague,Tolima,730
col_customer_0000122,col_unique_000089,ARMENIA,Quindio,630
col_customer_0000123,col_unique_000090,Pasto,Narino,520
col_customer_0000124,col_unique_000090,Pasto,Narino,520
col_customer_0000125,col_unique_000091,Bucaramanga,Santander,680
col_customer_0000126,col_unique_000091,Bucaramanga,santander,680
col_customer_0000127,col_unique_000092,Valledupar,Cesar,200
col_customer_0000128,col_unique_000092,Valledupar,Cesar,200
col_customer_0000129,col_unique_000092,Valledupar,Cesar,200
col_customer_0000130,col_unique_000092,Valledupar,Cesar,200
col_customer_0000131,col_unique_000092,Valledupar,cesar,200
col_customer_0000132,col_unique_000092,Valledupar,Cesar,200
col_customer_0000133,col_unique_000093,BARRANQUILLA,Atlantico,
col_customer_0000134,col_unique_000094,Cali,Valle del Cauca,760
col_customer_0000135,col_unique_000095,Chia,Cundinamarca,250
col_customer_0000136,col_unique_000096,Popayan,Cauca,190
col_customer_0000137,col_unique_000097,Medellin,Antioquia,050
col_customer_0000138,col_unique_000098, Barranquilla,Atlantico,080
col_customer_0000139,col_unique_000099,BARRANQUILLA,Atlantico,080
col_customer_0000140,col_unique_000100,CHIA,Cundinamarca,250
col_customer_0000141,col_unique_000101,Medellin,Antioquia,050
col_customer_0000142,col_unique_000102,Barranquilla,Atlantico,080
col_customer_0000143,col_unique_000103,  Bogota  ,Bogota D.C.,110
col_customer_0000144,col_unique_000103,Bogota,Bogota D.C.,110
col_customer_0000145,col_unique_000103,Bogota,Bogota D.C.,110
col_customer_0000146,col_unique_000104,  Tunja  ,Boyaca,150
col_customer_0000147,col_unique_000105,  Bogota  ,Bogota D.C.,110
col_customer_0000148,col_unique_000106,Barranquilla,Atlantico,080
col_customer_0000149,col_unique_000106,Barranquilla,Atlantico,080
col_customer_0000150,col_unique_000107,Bogota,Bogota D.C.,110
col_customer_0000151,col_unique_000108,Bogota,Bogota D.C.,110
col_customer_0000152,col_unique_000109,Bogota,Bogota D.C.,110
col_customer_0000153,col_unique_000109,Bogota,Bogota D.C.,110
col_customer_0000154,col_unique_000110,Medellin,Antioquia,050
col_customer_0000155,col_unique_000111,Manizales,Caldas,170
col_customer_0000156,col_unique_000112,Barranquilla,  Atlantico  ,080
col_customer_0000157,col_unique_000113,Pereira,Risaralda,660
col_customer_0000158,col_unique_000114,Medellin,Antioquia,050
col_customer_0000159,col_unique_000115, Neiva,Huila,410
col_customer_0000160,col_unique_000115,neiva,Huila,410
col_customer_0000161,col_unique_000116,Medellin,ANTIOQUIA,050
col_customer_0000162,col_unique_000117, Medellin,Antioquia,050
col_customer_0000163,col_unique_000118,Bogota,Bogota D.C.,110
col_customer_0000164,col_unique_000119,Barranquilla,Atlantico,080
col_customer_0000165,col_unique_000119,Barranquilla,Atlantico,080
col_customer_0000166,col_unique_000120,Bogota,Bogota D.C.,110
col_customer_0000167,col_unique_000120,Bogota,Bogota D.C.,110
