order_id,order_item_id,product_id,seller_id,product_category,shipping_limit_date,price,freight_value,currency
col_order_0000001,1,col_prod_00375,col_seller_0022,celulares,2024-09-23,647300.00,51600.00,COP
col_order_0000001,2,col_prod_00416,col_seller_0052,salud,2024-09-23,159200.00,16300.00,COP
col_order_0000001,3,col_prod_00165,col_seller_0065,hogar,2024-09-20,133600.00,16900.00,COP
col_order_0000002,1,col_prod_00090,col_seller_0018,moda,2024-09-26,113600.00,19900.00,COP
col_order_0000003,1,col_prod_00572,col_seller_0096,salud,2025-04-25,171000.00,20600.00,COP
col_order_0000003,2,col_prod_00060,col_seller_0081,juguetes,2025-04-22,119500.00,14100.00,COP
col_order_0000005,1,col_prod_00140,col_seller_0037,hogar,2025-04-20,166300.00,13800.00,COP
col_order_0000005,2,col_prod_00479,col_seller_0091,tecnologia,2025-04-17,203400.00,16200.00,COP
col_order_0000006,1,col_prod_00283,col_seller_0092,hogar,2024-11-12,163900.00,12000.00,COP
col_order_0000007,1,col_prod_00422,col_seller_0108,accesorios_moto,2025-03-18,253000.00,24000.00,COP
col_order_0000008,1,col_prod_00149,col_seller_0009,mercado,2025-08-11,91900.00,12300.00,COP
col_order_0000008,2,col_prod_00442,col_seller_0044,electrodomesticos,2025-08-10,656700.00,29500.00,COP
col_order_0000008,3,col_prod_00575,col_seller_0076,hogar,2025-08-10,162000.00,22700.00,COP
col_order_0000008,4,col_prod_00597,col_seller_0110,mercado,2025-08-10,91200.00,15800.00,COP
col_order_0000009,1,col_prod_00403,col_seller_0088,libros,2024-06-12,85400.00,16200.00,COP
col_order_0000009,2,col_prod_00368,col_seller_0091,mercado,2024-06-15,130800.00,12500.00,COP
col_order_0000009,3,col_prod_00538,col_seller_0092,accesorios_moto,2024-06-12,242200.00,22500.00,COP
col_order_0000009,4,col_prod_00189,col_seller_0047,deportes,2024-06-14,133200.00,18900.00,COP
col_order_0000010,1,col_prod_00570,col_seller_0012,moda,2024-09-12,90300.00,20500.00,COP
col_order_0000011,1,col_prod_00133,col_seller_0120,belleza,2025-04-04,92100.00,11000.00,COP
col_order_0000011,2,col_prod_00150,col_seller_0059,tecnologia,2025-04-01,463300.00,34200.00,COP
col_order_0000012,1,col_prod_00180,col_seller_0039,mercado,2024-09-07,75200.00,10600.00,COP
col_order_0000013,1,col_prod_00211,col_seller_0106,belleza,2025-01-30,78700.00,16600.00,COP
col_order_0000014,1,col_prod_00172,col_seller_0077,moda,2024-12-04,115800.00,11600.00,COP
col_order_0000014,2,col_prod_00086,col_seller_0048,juguetes,2024-12-05,108500.00,14100.00,COP
