order_id,payment_sequential,payment_type,payment_installments,payment_value,currency
col_order_0000001,1,transferencia,1,1024900.00,COP
col_order_0000002,1,tarjeta_debito,1,133500.00,COP
col_order_0000003,1,transferencia,1,325200.00,COP
col_order_0000005,1,transferencia,1,399700.00,COP
col_order_0000006,1,transferencia,1,175900.00,COP
col_order_0000007,1,tarjeta_credito,3,276400.00,COP
col_order_0000008,1,tarjeta_credito,12,1082100.00,COP
col_order_0000009,1,contra_entrega,1,661700.00,COP
col_order_0000010,1,transferencia,1,74300.00,COP
col_order_0000010,2,credito_bnpl,3,36500.00,COP
col_order_0000011,1,tarjeta_debito,1,600600.00,COP
col_order_0000012,1,tarjeta_credito,1,85800.00,COP
col_order_0000013,1,credito_bnpl,1,95300.00,COP
col_order_0000014,1,transferencia,1,471800.00,COP
col_order_0000017,1,tarjeta_credito,6,171600.00,COP
col_order_0000018,1,transferencia,1,954500.00,COP
col_order_0000019,1,tarjeta_credito,18,1023000.00,COP
col_order_0000020,1,tarjeta_debito,1,953200.00,COP
col_order_0000021,1,credito_bnpl,3,189000.00,COP
col_order_0000022,1,tarjeta_credito,1,228000.00,COP
col_order_0000023,1,tarjeta_credito,1,106500.00,COP
col_order_0000024,1,tarjeta_debito,1,194500.00,COP
col_order_0000025,1,tarjeta_debito,1,99200.00,COP
col_order_0000026,1,tarjeta_credito,1,126800.00,COP
col_order_0000027,1,tarjeta_credito,12,396200.00,COP
col_order_0000028,1,tarjeta_debito,1,189000.00,COP
col_order_0000029,1,credito_bnpl,3,387400.00,COP
col_order_0000030,1,tarjeta_credito,6,481700.00,COP
col_order_0000031,1,tarjeta_debito,1,242400.00,COP
col_order_0000032,1,tarjeta_credito,1,250800.00,COP
col_order_0000033,1,contra_entrega,1,71600.00,COP
col_order_0000034,1,transferencia,1,251000.00,COP
col_order_0000035,1,transferencia,1,753900.00,COP
col_order_0000036,1,contra_entrega,1,615700.00,COP
col_order_0000037,1,transferencia,1,180600.00,COP
col_order_0000038,1,transferencia,1,682000.00,COP
col_order_0000039,1,transferencia,1,497000.00,COP
col_order_0000039,2,bono_regalo,1,515900.00,COP
col_order_0000040,1,tarjeta_credito,1,108600.00,COP
col_order_0000041,1,contra_entrega,1,370500.00,COP
col_order_0000042,1,contra_entrega,1,163500.00,COP
col_order_0000043,1,tarjeta_credito,12,883300.00,COP
col_order_0000044,1,bono_regalo,1,938100.00,COP
col_order_0000045,1,tarjeta_credito,3,239900.00,COP
col_order_0000046,1,credito_bnpl,6,94000.00,COP
col_order_0000047,1,credito_bnpl,3,257500.00,COP
col_order_0000048,1,credito_bnpl,1,136900.00,COP
col_order_0000049,1,tarjeta_credito,1,126900.00,COP
col_order_0000050,1,tarjeta_credito,1,1019800.00,COP
col_order_0000051,1,tarjeta_debito,1,139600.00,COP
col_order_0000052,1,bono_regalo,1,493800.00,COP
col_order_0000053,1,tarjeta_credito,3,452400.00,COP
col_order_0000054,1,tarjeta_credito,1,89100.00,COP
col_order_0000055,1,contra_entrega,1,693100.00,COP
col_order_0000056,1,tarjeta_credito,3,447200.00,COP
col_order_0000058,1,tarjeta_credito,1,170500.00,COP
col_order_0000058,2,contra_entrega,1,231800.00,COP
col_order_0000059,1,contra_entrega,1,1489000.00,COP
col_order_0000060,1,tarjeta_credito,3,709900.00,COP
col_order_0000061,1,bono_regalo,1,808300.00,COP
col_order_0000062,1,transferencia,1,1300400.00,COP
col_order_0000063,1,contra_entrega,1,154700.00,COP
col_order_0000064,1,bono_regalo,1,217100.00,COP
col_order_0000065,1,tarjeta_credito,1,400900.00,COP
col_order_0000066,1,tarjeta_credito,1,1021500.00,COP
col_order_0000067,1,tarjeta_credito,1,189600.00,COP
col_order_0000068,1,transferencia,1,96500.00,COP
col_order_0000069,1,credito_bnpl,3,106400.00,COP
col_order_0000070,1,tarjeta_credito,1,88900.00,COP
col_order_0000070,2,tarjeta_credito,3,63700.00,COP
col_order_0000071,1,credito_bnpl,3,452200.00,COP
col_order_0000071,2,credito_bnpl,3,257800.00,COP
col_order_0000072,1,tarjeta_credito,3,130700.00,COP
col_order_0000074,1,transferencia,1,402500.00,COP
col_order_0000076,1,bono_regalo,1,175900.00,COP
col_order_0000077,1,tarjeta_credito,3,132800.00,COP
col_order_0000078,1,tarjeta_credito,3,150900.00,COP
col_order_0000079,1,tarjeta_credito,6,271200.00,COP
col_order_0000080,1,bono_regalo,1,103300.00,COP
col_order_0000081,1,contra_entrega,1,223500.00,COP
col_order_0000083,1,transferencia,1,1656100.00,COP
col_order_0000084,1,tarjeta_credito,1,99200.00,COP
col_order_0000085,1,credito_bnpl,6,356700.00,COP
col_order_0000086,1,tarjeta_credito,1,117800.00,COP
col_order_0000086,2,tarjeta_debito,1,46300.00,COP
col_order_0000087,1,transferencia,1,203800.00,COP
col_order_0000088,1,tarjeta_credito,1,356700.00,COP
col_order_0000088,2,tarjeta_credito,3,364000.00,COP
col_order_0000089,1,,1,137200.00,COP
col_order_0000089,2,tarjeta_credito,1,66700.00,COP
col_order_0000090,1,credito_bnpl,6,293200.00,COP
col_order_0000091,1,bono_regalo,1,132000.00,COP
col_order_0000092,1,credito_bnpl,6,223300.00,COP
col_order_0000093,1,transferencia,1,116400.00,COP
col_order_0000094,1,transferencia,1,199000.00,COP
col_order_0000095,1,bono_regalo,1,73800.00,COP
col_order_0000096,1,contra_entrega,1,658100.00,COP
col_order_0000097,1,tarjeta_credito,1,77600.00,COP
