order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,currency,customer_unique_id,customer_city,customer_department,customer_postal_code_prefix,item_count,gross_merchandise_value,freight_value,unique_products,main_category,monetary,payment_count,max_installments,main_payment_type
col_order_0000001,col_customer_0000001,delivered,2024-09-17 03:38:41,2024-09-18 22:36:41,2024-09-21 21:36:41,2024-09-25 12:36:41,2024-09-27 03:38:41,COP,col_unique_000001,cartagena,bolivar,130,3.0,940100.0,84800.0,3.0,celulares,1024900.0,1.0,1.0,transferencia
col_order_0000002,col_customer_0000002,canceled,2024-09-21 02:15:21,2024-09-22 15:31:21,,,2024-10-04 02:15:21,COP,col_unique_000002,barranquilla,atlantico,080,1.0,113600.0,19900.0,1.0,moda,133500.0,1.0,1.0,tarjeta_debito
col_order_0000003,col_customer_0000003,delivered,2025-04-20 02:21:59,2025-04-21 08:03:59,2025-04-24 13:03:59,2025-04-26 07:03:59,2025-04-25 02:21:59,COP,col_unique_000003,pereira,risaralda,660,2.0,290500.0,34700.0,2.0,juguetes,325200.0,1.0,1.0,transferencia
col_order_0000004,col_customer_0000004,payment_pending,2025-06-26 22:43:08,,,,2025-07-02 22:43:08,COP,col_unique_000004,villavicencio,meta,500,,,,,,,,,
col_order_0000005,col_customer_0000005,delivered,2025-04-13 15:06:47,2025-04-14 02:50:47,2025-04-16 12:50:47,2025-04-29 01:50:47,2025-04-21 15:06:47,COP,col_unique_000005,medellin,antioquia,050,2.0,369700.0,30000.0,2.0,hogar,399700.0,1.0,1.0,transferencia
col_order_0000006,col_customer_0000006,delivered,2024-11-09 10:45:13,2024-11-11 07:40:13,2024-11-12 17:40:13,2024-11-13 19:40:13,2024-11-15 10:45:13,COP,col_unique_000006,manizales,caldas,170,1.0,163900.0,12000.0,1.0,hogar,175900.0,1.0,1.0,transferencia
col_order_0000007,col_customer_0000007,delivered,2025-03-17 00:45:13,2025-03-17 04:59:13,2025-03-20 07:59:13,2025-03-31 05:59:13,2025-03-27 00:45:13,COP,col_unique_000006,manizales,caldas,170,1.0,253000.0,24000.0,1.0,accesorios_moto,276400.0,1.0,3.0,tarjeta_credito
col_order_0000008,col_customer_0000008,canceled,2025-08-05 16:45:13,2025-08-07 12:25:13,,,,COP,col_unique_000006,manizales,caldas,170,4.0,1001800.0,80300.0,4.0,mercado,1082100.0,1.0,12.0,tarjeta_credito
col_order_0000009,col_customer_0000009,delivered,2024-06-10 02:06:58,2024-06-11 10:07:58,2024-06-13 06:07:58,2024-06-17 21:07:58,2024-06-16 02:06:58,COP,col_unique_000007,bogota,bogota d.c.,110,4.0,591600.0,70100.0,4.0,accesorios_moto,661700.0,1.0,1.0,contra_entrega
col_order_0000010,col_customer_0000010,returned,2024-09-07 18:01:36,2024-09-07 23:32:36,2024-09-09 21:32:36,2024-09-14 05:32:36,2024-09-20 18:01:36,COP,col_unique_000008,villavicencio,meta,500,1.0,90300.0,20500.0,1.0,moda,110800.0,2.0,3.0,credito_bnpl
col_order_0000011,col_customer_0000011,returned,2025-03-29 10:50:08,2025-03-29 14:09:08,2025-04-01 19:09:08,2025-04-09 01:09:08,2025-04-07 10:50:08,COP,col_unique_000009,bogota,bogota d.c.,110,2.0,555400.0,45200.0,2.0,belleza,600600.0,1.0,1.0,tarjeta_debito
col_order_0000012,col_customer_0000012,delivered,2024-09-05 14:26:32,2024-09-05 15:37:32,2024-09-08 16:37:32,2024-09-19 06:37:32,2024-09-08 14:26:32,COP,col_unique_000010,chia,cundinamarca,250,1.0,75200.0,10600.0,1.0,mercado,85800.0,1.0,1.0,tarjeta_credito
col_order_0000013,col_customer_0000013,delivered,2025-01-25 06:44:26,2025-01-26 13:27:26,2025-01-29 16:27:26,2025-02-03 03:27:26,2025-02-03 06:44:26,COP,col_unique_000011,armenia,quindio,630,1.0,78700.0,16600.0,1.0,belleza,95300.0,1.0,1.0,credito_bnpl
col_order_0000014,col_customer_0000014,delivered,2024-11-30 19:04:43,2024-12-02 06:05:43,2024-12-04 12:05:43,2024-12-06 05:05:43,2024-12-09 19:04:43,COP,col_unique_000012,medellin,antioquia,050,3.0,428800.0,43000.0,3.0,deportes,471800.0,1.0,1.0,transferencia
col_order_0000015,col_customer_0000015,canceled,2025-01-17 17:00:00,2025-01-18 16:54:00,,,2025-01-28 17:00:00,COP,col_unique_000013,barranquilla,atlantico,080,,,,,,,,,
col_order_0000016,col_customer_0000016,canceled,2025-01-03 23:43:12,2025-01-04 03:28:12,,,2025-01-08 23:43:12,COP,col_unique_000014,barranquilla,atlantico,080,,,,,,,,,
col_order_0000017,col_customer_0000017,returned,2024-07-07 03:14:36,2024-07-08 11:21:36,2024-07-10 02:21:36,2024-07-18 02:21:36,2024-07-19 03:14:36,COP,col_unique_000015,bogota,bogota d.c.,110,1.0,159000.0,12600.0,1.0,moda,171600.0,1.0,6.0,tarjeta_credito
col_order_0000018,col_customer_0000018,delivered,2024-01-28 09:36:12,2024-01-30 07:02:12,2024-02-01 15:02:12,2024-02-03 07:02:12,2024-02-08 09:36:12,COP,col_unique_000016,bogota,bogota d.c.,110,1.0,930100.0,24400.0,1.0,celulares,954500.0,1.0,1.0,transferencia
col_order_0000019,col_customer_0000019,delivered,2025-02-07 03:32:14,2025-02-08 07:31:14,2025-02-11 18:31:14,2025-02-24 17:31:14,2025-02-20 03:32:14,COP,col_unique_000017,bogota,bogota d.c.,110,4.0,942700.0,80300.0,4.0,tecnologia,1023000.0,1.0,18.0,tarjeta_credito
